brand,model
Dell,dell
Dell,ڈیل
Dell,دیل 
Dell,alienware
Dell,g series
Dell,inspiron
Dell,latitude
Dell,precision
Dell,vostro
Dell,xps
Dell,ایلین ویئر
Dell, انسپیرون
Dell, ووسٹرو
Dell, ایکس پی ایس
HP,hp
HP,elitebook
HP,envy
HP,omen
HP,pavilion
HP,zbook
HP,spectre
HP,victus
HP,probook
HP,omnibook
HP,ایلیٹ بوک
HP,ایچ_پی
HP,ایچ پی
HP,پویلین
HP, زیڈ بوک
HP, سپیکٹر
HP, وکٹوس
HP, پرو بوک
HP, اومنی بک
Lenovo,lenovo
Lenovo,لینووو
Lenovo,Lenovo ideapad
Lenovo,legion
Lenovo,Lenovo ThinkPad
Lenovo,thinkbook
Lenovo,X1 Series
Lenovo,Lenovo Yoga 9i
Lenovo,Lenovo Yoga 9
Lenovo,yoga
Lenovo,x1carbonآئیڈیا پیڈ
Lenovo, لیجن
Lenovo, تھنک پیڈ
Lenovo, تھنک بک
Lenovo,لینوو
Lenovo,یوگا
Lenovo,Lenovo ThinkBook
Lenovo,Thinkpad E
Apple,mac mini m2
Apple,mac mini
Apple,ایپل انک
Apple,ایپل
Apple,apple
Apple,apple inc
Apple,macbook
Apple,m1 air
Apple,air m1
Apple,m1
Apple,macbook air
Apple,macbook pro
Apple,میک
Apple,میک بوک
Apple, میک بوک ایئر
Apple, میک بوک پرو
Acer,acer
Acer,ایسر
Acer,aspire
Acer,enduro
Acer,extensa
Acer,ferrari
Acer,nitro
Acer,predator
Acer,swift
Acer,spin
Acer,switch
Acer,travelmate
Acer,اسپائر
Acer, اینڈورو
Acer, ایکسٹینس
Acer, فیراری
Acer, نائٹرو
Acer, سوئفٹ
Acer, اسپن
Acer, سوئچ
Acer, ٹریول میٹ
Microsoft Surface,مائیکروسافٹ سرفیس
Microsoft Surface,مائیکروسافٹ
Microsoft Surface,surface pro
Microsoft Surface,surface studio
Microsoft Surface,microsoft surface
Microsoft Surface,surface go
Microsoft Surface,سرفیس کے حامی
Microsoft Surface, سرفیس اسٹوڈیو
Microsoft Surface, مائیکروسافٹ سرفیس
Microsoft Surface, سرفیس کا گو
Asus,ASUS ZenBook Duo 14 UX482
Asus,ASUS ZenBook
Asus,asus
Asus,zenbook
Asus,vivobook
Asus,chromebook
Asus,rog
Asus,tuf
Asus,zephyrus
Asus,eeebook
Asus,experbook
Asus,transformer
Asus,asuspro
Asus,proart
Asus,زین بوک
Asus, ویو بوک
Asus, کروم بوک
Asus, آر او جی
Asus, ٹی یو ایف
Asus, زیفیرس
Asus, ای بوک
Asus, تجربہ بک
Asus,ٹرانسفارمر
Asus, اسوسپرو
Asus, پرورٹ
Asus,آسوس لیپ ٹاپ
Asus,آسوس
AGB Supreme Technology,اے جی بی سپریم ٹکنالوجی
AGB Supreme Technology,octev series
AGB Supreme Technology,tiara
AGB Supreme Technology,orion
AGB Supreme Technology,اوکٹیو سیریز
AGB Supreme Technology, ٹائرا
AGB Supreme Technology, اورین
Alienware,ایلین ویئر
Alienware,x15
Alienware,x16
Alienware,m15
Alienware,area-51m r2
Alienware,x15
Alienware, x16
Alienware, m15
Alienware, ایریا -51 ایم آر 2
Avell[2],avell [2]
axioo,axioo
axioo,mybook
axioo,slimbook
axioo,chromebook
axioo,مائی بوک
axioo, سلیم بوک
axioo, کروم بوک
Bitblaze,بٹ بلیز
Bitblaze,titan bm15
Bitblaze,ٹائٹن bm15
Bmax,bmax
Bmax,maxbook
Bmax,میک بوک
Boxx technologies,باکس ایکس ٹیکنالوجیز
Boxx technologies,goboxx
Boxx technologies,goboxx
Casper,کاسپر
Casper,nirvana
Casper,excalibur
Casper,نروانا
Casper, ایکسلیبر
Chuwi [ja],چووی [جا]
Chuwi [ja],herobook
Chuwi [ja],corebook
Chuwi [ja],ہیرو بک
Chuwi [ja], کور بک
Corsair,کورسیر
Corsair,voyager
Corsair,وایجر
Clevo,کلیوو
Clevo,np70 series
Clevo,p870dm3-g
Clevo,x170km-g
Clevo,x7200
Clevo,np70 سیریز
Clevo, p870dm3-g
Clevo, x170km-g
Clevo, x7200
Cyberpowerpc,سائبر پاور پی سی
Cyberpowerpc,tracer v series
Cyberpowerpc,tracer iv
Cyberpowerpc,tracer iii
Cyberpowerpc,ٹریسر وی سیریز
Cyberpowerpc, ٹریسر چہارم
Cyberpowerpc, ٹریسر iii
Daten,ڈیٹن
Daten,datenbook
Daten,ڈیٹن بک
Infinix,x1 slim
Infinix,infinix
Infinix,انفنکس
Digital storm,ڈیجیٹل
Digital storm,avon 15
Digital storm,"banshee 17.3"""
Digital storm,ایون 15
Digital storm," بنشی 17.3 """
Durabook,ڈوربوک
Durabook,z141
Durabook,s141
Durabook,s15ab
Durabook,r8300
Durabook,z141
Durabook, s141
Durabook, s15ab
Durabook, r8300
Dynabook,dynabook
Dynabook,portégé
Dynabook,tecra
Dynabook,satellite/satellite pro
Dynabook,e series
Dynabook,پورٹگی
Dynabook, ٹیکرا
Dynabook, سیٹلائٹ/سیٹلائٹ پرو
Dynabook, ای سیریز
Eluktronics,ایلکٹرونکس
Eluktronics,prometheus xvii
Eluktronics,mag-15
Eluktronics,mag-15r
Eluktronics,mech-15 g3
Eluktronics,max-15
Eluktronics,max-17
Eluktronics,پرومیٹیس xvii
Eluktronics, mag-15
Eluktronics, mag-15r
Eluktronics, mech-15 g3
Eluktronics, max-15
Eluktronics, max-17
Eurocom,یوروکوم
Eurocom,sky
Eurocom,tornado
Eurocom,nightsky
Eurocom,commander
Eurocom,monster
Eurocom,اسکائی
Eurocom, ٹورنیڈو
Eurocom, نائٹسکی
Eurocom, کمانڈر
Eurocom, مونسٹر
Evoo,ایوو
Evoo,eg series
Evoo,ev-c series
Evoo,evc series
Evoo,tev series
Evoo,ای جی سیریز
Evoo, ای وی سی سیریز
Evoo, ای وی سی سیریز
Evoo, ٹی ای وی سیریز
Falcon northwest,فالکن نارتھ ویسٹ
Falcon northwest,drx
Falcon northwest,tlx
Falcon northwest,drx
Falcon northwest, tlx
Framework computer,فریم ورک کمپیوٹر
Framework computer,framework laptop
Framework computer,فریم ورک لیپ ٹاپ
Fujitsu,fujitsu
Fujitsu,celsius
Fujitsu,lifebook
Fujitsu,سیلسیس
Fujitsu, لائف بوک
Gateway,گیٹ وے
Gateway,2-in-1 convertible
Gateway,ultra slim
Gateway,2-in-1 کنورٹیبل
Gateway, الٹرا سلم
Geo,geo
